Sum of mean_time_alone,Column Labels,,
Row Labels,female,male,Grand Total
15-20,300.2535885,337.9142857,638.1678742
15-25,285.746114,344.7011494,630.4472634
26-30,221.1415385,301.6619718,522.8035103
31-35,214.1828704,231.2818428,445.4647132
36-40,207.8022727,224.0206718,431.8229446
41-45,244.3638968,242.109589,486.4734859
46-50,287.9275362,301.8196721,589.7472084
51-55,324.4972678,341.840678,666.3379457
56-60,361.4986945,358.7677419,720.2664365
61-65,431.5524017,432.1572165,863.7096182
66+,531.4442916,463.6156788,995.0599704
Grand Total,3410.410473,3579.890498,6990.300971
