Sum of mean_time_alone,Column Labels,,
Row Labels,female,male,Grand Total
15-20,181.4835681,226.4568182,407.9403863
15-25,211.2527473,227.4897119,438.7424592
26-30,182.9931271,221.0393258,404.032453
31-35,179.4330827,217.7068607,397.1399434
36-40,199.9406393,210.9388112,410.8794505
41-45,259.0123457,258.7147708,517.7271165
46-50,299.2932331,305.4010889,604.694322
51-55,348.0207612,363.7908745,711.8116358
56-60,385.8509434,381.7171053,767.5680487
61-65,435.7410359,426.5311005,862.2721363
66+,527.6569187,450.4951691,978.1520878
Grand Total,3210.678402,3290.281637,6500.960039
