Age group,Women,Men,Year,,,Age group,Women,Men,Year
15-20,224.1631579,289.2719298,2019,,,15-20,181.4835681,226.4568182,2011
15-25,242.9904762,287.9728261,2019,,,15-25,211.2527473,227.4897119,2011
26-30,200.6803797,259.488959,2019,,,26-30,182.9931271,221.0393258,2011
31-35,184.4826733,217.1186441,2019,,,31-35,179.4330827,217.7068607,2011
36-40,199.3288591,211.3002364,2019,,,36-40,199.9406393,210.9388112,2011
41-45,228.5598086,247.8166189,2019,,,41-45,259.0123457,258.7147708,2011
46-50,291.9166667,289.8837209,2019,,,46-50,299.2932331,305.4010889,2011
51-55,330.0619048,336.6257485,2019,,,51-55,348.0207612,363.7908745,2011
56-60,394.2464789,378.7479675,2019,,,56-60,385.8509434,381.7171053,2011
61-65,415.712743,429.863747,2019,,,61-65,435.7410359,426.5311005,2011
66+,517.3577406,470.238477,2019,,,66+,527.6569187,450.4951691,2011
15-20,300.2535885,337.9142857,2021,,,15-20,300.2535885,337.9142857,2021
15-25,285.746114,344.7011494,2021,,,15-25,285.746114,344.7011494,2021
26-30,221.1415385,301.6619718,2021,,,26-30,221.1415385,301.6619718,2021
31-35,214.1828704,231.2818428,2021,,,31-35,214.1828704,231.2818428,2021
36-40,207.8022727,224.0206718,2021,,,36-40,207.8022727,224.0206718,2021
41-45,244.3638968,242.109589,2021,,,41-45,244.3638968,242.109589,2021
46-50,287.9275362,301.8196721,2021,,,46-50,287.9275362,301.8196721,2021
51-55,324.4972678,341.840678,2021,,,51-55,324.4972678,341.840678,2021
56-60,361.4986945,358.7677419,2021,,,56-60,361.4986945,358.7677419,2021
61-65,431.5524017,432.1572165,2021,,,61-65,431.5524017,432.1572165,2021
66+,531.4442916,463.6156788,2021,,,66+,531.4442916,463.6156788,2021
